Nhóm hàng(3 Cấp);Tên hàng;Giá bán;image_default;image_hover
Bông tai;BÔNG MÓNG NGỰA;675.000,0;https://i.ibb.co/p6Lp0h2t/Untitled-Catalog1279.png;https://i.ibb.co/rR4bKs1z/Untitled-Catalog1266.png
Dây Chuyền;CHUYỀN CÁ NGỰA;2.640.000,0;https://cdn2-retail-images.kiotviet.vn/2026/03/13/tskaraoke/e720f3fb29cb4d189f3ad219e0aa02f0.png;
Charm;Cá Ngựa CHARM;3.500.000,0;https://i.ibb.co/xttGJSJz/Screenshot-2026-04-22-173503.png;https://i.ibb.co/PnG321W/Untitled-Catalog1175.png
Nhẫn;Nhẫn Cà Rá;1.650.000,0;https://framerusercontent.com/images/FmgnNcI1oJR5Bg5QCCoqSwbhwc.png;
Bông tai;Bông kim uốn;1.500.000,0;https://framerusercontent.com/images/DMXDggiNTUkw0Pe1mZps5F5DGHs.png;https://framerusercontent.com/images/PsENHslvQMvNWbE18oZwMVZih8.png
Dây Chuyền;Chuyền gạch ống;3.060.000,0;https://framerusercontent.com/images/iNjzNy72oYy9EChaXD9jwrXPvAM.png;https://framerusercontent.com/images/Bjxo6wcZEuGFHJYILOs1AMendkY.png
Dây Chuyền;Chuyền Gạch;3.125.000,0;https://framerusercontent.com/images/OXOySkgKmAJvpKmwh8J24CyUJww.png;https://framerusercontent.com/images/OXOySkgKmAJvpKmwh8J24CyUJww.png
Charm;Charm Mặt gạch;1.800.000,0;https://framerusercontent.com/images/OXOySkgKmAJvpKmwh8J24CyUJww.png;
Charm;Charm Gạch ống;2.500.000,0;https://framerusercontent.com/images/iNjzNy72oYy9EChaXD9jwrXPvAM.png;
Nhẫn;Nhẫn gạch nhất;2.100.000,0;https://framerusercontent.com/images/iZsJhSaKJXM9TZHFA8hLFUk4oRw.png;https://framerusercontent.com/images/mlhK7Ariz8L3ylzn0GmKoK697zc.png
Nhẫn;Nhẫn gạch nam;2.800.000,0;https://framerusercontent.com/images/25qyKQkXNfh7QZtXNM0cmEgxN04.png;https://framerusercontent.com/images/iWD7gGFl8OMV2SHTI5drNcQVEa8.png
Bông tai;Bông KIM Cúc;1.500.000,0;https://framerusercontent.com/images/DMXDggiNTUkw0Pe1mZps5F5DGHs.png;https://framerusercontent.com/images/PsENHslvQMvNWbE18oZwMVZih8.png
Dây Chuyền;Chuyền KIM uốn;1.900.000,0;https://i.ibb.co/NnSDPLqq/bong-kim-cuc-bg.png;https://i.ibb.co/TZQLg82/image.png
Charm;Charm kim uốn;1.300.000,0;;
Nhẫn;Nhẫn kim uốn;1.550.000,0;https://framerusercontent.com/images/0IV5Slovo4NM2aaduep6WsMF6z4.png;
Charm;Charm kim cúc;1.300.000,0;;
Nhẫn;Nhẫn kim cúc;1.320.000,0;https://framerusercontent.com/images/st6vjpLEbAW6C7TQ4gWxw0RdXM.png;https://framerusercontent.com/images/E7z9NTEWhx1BE8u9npnBpqVJ3o.png
